ID,Group,Query,Stat,Result
Q1,Efficiency,Social Impact Trend,0.703,Significant
Q2,Efficiency,Response Time Reduction %,44.4,44.4% Improvement
Q3,Efficiency,Severe Distress Incidents,0,0 Incidents
Q4,Efficiency,Verbal Growth (Low Starters),0,Insufficient Data (None < 6)
Q5,Drivers,Stronger Driver,0.51,Home
Q6,Drivers,Personalization Impact,0,Insufficient Data
Q7,Drivers,Understanding-Generalization,0.67,Strong
Q8,Drivers,Success Boost (Real Life Link),19.3,+19.3% Success
Q9,Mechanisms,Personalization -> Initiation,0.14,Weak Link
Q10,Mechanisms,Creativity -> Confidence,0.05,Not Predictive
Q11,Mechanisms,Age vs Improvement,1,Younger improves faster
Q12,Mechanisms,Gender Difference,0,One Gender Dominant
Q13,Predictions,Early Engagement Predicts Outcome,0,Insufficient Data
Q15,Predictions,Initiation -> Relationship,0.32,Unrelated
